"STATION","NAME","DATE","TAVG"
"RSM00027612","MOSCOW, RS","2013-03-26","21"
"RSM00027612","MOSCOW, RS","2013-03-27","17"
"RSM00027612","MOSCOW, RS","2013-03-28","22"
"RSM00027612","MOSCOW, RS","2013-03-29","29"
"RSM00027612","MOSCOW, RS","2013-03-30","26"
"RSM00027612","MOSCOW, RS","2013-03-31","33"
"RSM00027612","MOSCOW, RS","2013-04-01","34"
"RSM00027612","MOSCOW, RS","2013-04-02","40"
"RSM00027612","MOSCOW, RS","2013-04-03","35"
"RSM00027612","MOSCOW, RS","2013-04-04","35"
"RSM00027612","MOSCOW, RS","2013-04-05","38"
"RSM00027612","MOSCOW, RS","2013-04-06","37"
"RSM00027612","MOSCOW, RS","2013-04-07","33"
"RSM00027612","MOSCOW, RS","2013-04-08","35"
"RSM00027612","MOSCOW, RS","2013-04-09","35"
"RSM00027612","MOSCOW, RS","2013-04-10","35"
"RSM00027612","MOSCOW, RS","2013-04-11","37"
"RSM00027612","MOSCOW, RS","2013-04-12","39"
"RSM00027612","MOSCOW, RS","2013-04-13","39"
"RSM00027612","MOSCOW, RS","2013-04-14","45"
"RSM00027612","MOSCOW, RS","2013-04-15","50"
"RSM00027612","MOSCOW, RS","2013-04-16","50"
"RSM00027612","MOSCOW, RS","2013-04-17","52"
"RSM00027612","MOSCOW, RS","2013-04-18","54"
"RSM00027612","MOSCOW, RS","2013-04-19","60"
"RSM00027612","MOSCOW, RS","2013-04-20","53"
"RSM00027612","MOSCOW, RS","2013-04-21","44"
"RSM00027612","MOSCOW, RS","2013-04-22","42"
"RSM00027612","MOSCOW, RS","2013-04-23","42"
"RSM00027612","MOSCOW, RS","2013-04-24","44"
"RSM00027612","MOSCOW, RS","2013-04-25","41"
"RSM00027612","MOSCOW, RS","2013-04-26","46"
"RSM00027612","MOSCOW, RS","2013-04-27","51"
"RSM00027612","MOSCOW, RS","2013-04-28","44"
"RSM00027612","MOSCOW, RS","2013-04-29","47"
"RSM00027612","MOSCOW, RS","2013-04-30","51"
"RSM00027612","MOSCOW, RS","2013-05-01","52"
"RSM00027612","MOSCOW, RS","2013-05-02","52"
"RSM00027612","MOSCOW, RS","2013-05-03","57"
"RSM00027612","MOSCOW, RS","2013-05-04","51"
"RSM00027612","MOSCOW, RS","2013-05-05","52"
"RSM00027612","MOSCOW, RS","2013-05-06","50"
"RSM00027612","MOSCOW, RS","2013-05-07","53"
"RSM00027612","MOSCOW, RS","2013-05-08","62"
"RSM00027612","MOSCOW, RS","2013-05-09","63"
"RSM00027612","MOSCOW, RS","2013-05-10","69"
